deploymentID,locationID,locationName,longitude,latitude,coordinateUncertainty,start,end,setupBy,cameraID,cameraModel,cameraInterval,cameraHeight,cameraTilt,cameraHeading,timestampIssues,baitUse,session,array,featureType,habitat,tags,comments,_id
04f0900d-3b3b-4218-a214-d7f71bbff15a,73682d4b-727f-485b-b388-26a1ae851ac1,Koeienstal,4.42626,50.98904,,2023-02-10T15:42:31+01:00,2023-02-14T14:42:44+01:00,Emma Cartuyvels,e3c534e7-ae13-4f6f-8dc2-19341611f2dd,Reconyx-HF2X,,,,,,,,,,,,null,
095d60ac-7d4f-4f3c-b758-09ada4ec47d6,344f004f-4fa3-4501-8d3f-66fc414e6384,Pad achter stal,4.42670,50.98889,,2023-02-07T15:29:17+01:00,2023-02-10T15:30:55+01:00,Emma Cartuyvels,86693af2-8f65-4045-b1bc-d3b446724da8,Reconyx-HF2X,,,,,,,,,,,,,
2a19af17-f4de-4272-afc5-8ac54cbe05e4,eb3a277a-3158-4788-87c9-ce7bc4326c09,Voor houtkot,4.42702,50.98900,,2023-02-07T15:17:11+01:00,2023-02-10T15:32:55+01:00,Emma Cartuyvels,db447ff8-e09b-4811-91da-b2c70bd5d1cd,Reconyx-HF2X,,,,,,,,,,,,,
396a8d41-6b0b-47e0-a209-b15a9c8152e3,c80129ae-a98f-4c7c-aeef-16928646c0b3,Achter houtkot,4.42736,50.98903,,2023-02-06T13:52:36+01:00,2023-02-07T15:09:04+01:00,Emma Cartuyvels,00c32183-9af1-47c6-8249-8d6117e5cb7c,Reconyx-HF2X,,,,,,,,,,,,,
3eca99fb-e0fd-4614-841f-4f48e42bd833,344f004f-4fa3-4501-8d3f-66fc414e6384,Pad achter stal,4.42670,50.98889,,2023-02-06T13:36:13+01:00,2023-02-07T15:25:36+01:00,Emma Cartuyvels,86693af2-8f65-4045-b1bc-d3b446724da8,Reconyx-HF2X,,,,,,,,,,,,,
5354c0fc-2112-49c3-9817-0ed680d20763,c80129ae-a98f-4c7c-aeef-16928646c0b3,Achter houtkot,4.42736,50.98903,,2023-02-07T15:21:10+01:00,2023-02-10T15:37:00+01:00,Emma Cartuyvels,00c32183-9af1-47c6-8249-8d6117e5cb7c,Reconyx-HF2X,,,,,,,,,,,,,
541bc0e2-cf69-4e45-a1da-c4d1f9af3437,c80129ae-a98f-4c7c-aeef-16928646c0b3,Achter houtkot,4.42736,50.98903,,2023-02-10T16:10:07+01:00,2023-02-14T14:40:09+01:00,Emma Cartuyvels,00c32183-9af1-47c6-8249-8d6117e5cb7c,Reconyx-HF2X,,,,,,,,,,,,null,
6a591517-a85f-4785-8951-0263123b1ce8,eb3a277a-3158-4788-87c9-ce7bc4326c09,Voor houtkot,4.42702,50.98900,,2023-02-06T13:21:11+01:00,2023-02-07T15:10:04+01:00,Emma Cartuyvels,db447ff8-e09b-4811-91da-b2c70bd5d1cd,Reconyx-HF2X,,,,,,,,,,,,,
6f1928c6-5c29-41e9-922c-a9f8392c401b,73682d4b-727f-485b-b388-26a1ae851ac1,Koeienstal,4.42626,50.98904,,2023-02-07T15:47:07+01:00,2023-02-10T15:41:19+01:00,Emma Cartuyvels,e3c534e7-ae13-4f6f-8dc2-19341611f2dd,Reconyx-HF2X,,,,,,,,,,,,null,
7207aaaa-da06-40c5-9a0e-35118c31aaca,6b615c36-0a0d-440d-bec0-2958256a8a00,Kippenhok,4.42643,50.98870,,2023-02-07T16:12:10+01:00,2023-02-10T15:25:16+01:00,Emma Cartuyvels,035d35c2-1050-4049-be0a-cf9b909a41a3,Reconyx-HF2X,,,,,,,,,,,,,
a1db40b1-eaa5-4b7d-ac88-dfd1207d45bf,6b615c36-0a0d-440d-bec0-2958256a8a00,Kippenhok,4.42643,50.98870,,2023-02-06T18:54:02+01:00,2023-02-07T15:28:57+01:00,Emma Cartuyvels,035d35c2-1050-4049-be0a-cf9b909a41a3,Reconyx-HF2X,,,,,,,,,,,,,
b3786ed6-bf9d-4098-915d-6187ff48239c,344f004f-4fa3-4501-8d3f-66fc414e6384,Pad achter stal,4.42670,50.98889,,2023-02-10T15:32:25+01:00,2023-02-14T14:35:01+01:00,Emma Cartuyvels,86693af2-8f65-4045-b1bc-d3b446724da8,Reconyx-HF2X,,,,,,,,,,,,null,
cc67714d-19c2-4733-9f8d-1fd2b74f9c3e,eb3a277a-3158-4788-87c9-ce7bc4326c09,Voor houtkot,4.42702,50.98900,,2023-02-10T15:34:11+01:00,2023-02-14T14:40:03+01:00,Emma Cartuyvels,db447ff8-e09b-4811-91da-b2c70bd5d1cd,Reconyx-HF2X,,,,,,,,,,,,,
f0a1a85b-ab8a-4104-9fd1-41ef1af9c27b,73682d4b-727f-485b-b388-26a1ae851ac1,Koeienstal,4.42626,50.98904,,2023-02-06T13:16:56+01:00,2023-02-07T15:35:44+01:00,Emma Cartuyvels,e3c534e7-ae13-4f6f-8dc2-19341611f2dd,Reconyx-HF2X,,,,,,,,,,,,null,
f68ecefd-5f1a-458a-a0fa-6bf328f07d69,6b615c36-0a0d-440d-bec0-2958256a8a00,Kippenhok,4.42643,50.98870,,2023-02-10T15:33:31+01:00,2023-02-14T14:21:40+01:00,Emma Cartuyvels,035d35c2-1050-4049-be0a-cf9b909a41a3,Reconyx-HF2X,,,,,,,,,,,,,
